Restaurant Name,average_rating,popularity
The Crab Shack,3.9499999999999997,2
The Chocolate Room,3.5,2
The China Town,1.7,2
The Chef,2.95,2
The Cheesecake Factory,4.65,2
The Chatter House,4.1,2
The Cake Shop,1.65,2
The Cafe,4.35,2
The Breakfast Club,4.0,2
The Blue Tandoor,2.75,2
The Big Scoop,0.0,2
The Big Chill Cakery,4.45,2
The Belgian Fries Company,1.85,2
The Barbeque Company,4.0,2
The Taste,3.05,2
Theos,3.8,2
Timboo Cafe,4.2,2
Tipu Sultan,3.85,2
Zooby's Kitchen,3.15,2
Zaika Kathi Rolls,1.5,2
Zaaika Junction,2.85,2
ZASTY,3.5,2
Yumm Biryani,3.2,2
Yomo-Your Only Momo Outlet,3.0,2
Yo! Dimsum,1.5,2
Yadav Sweets,0.0,2
Wood Box Cafe,3.9499999999999997,2
Wild Chef House,1.55,2
Whipped,4.2,2
Wheelyz,2.85,2
Whatslife.in,0.0,2
Wendy's,3.8,2
Weird Time Food,3.35,2
Wai Yu Mun Ching,3.55,2
Wagh Bakri Tea Lounge,3.6,2
WTF - World's Tastiest Food,2.4,2
Vaishno Rasoi,1.3,2
Vaishno Punjabi Dhaba,3.25,2
Vadapav Junction,3.45,2
VadaPav 'n' Frankie,1.5,2
Urban Dhaba,2.85,2
Underdoggs Sports Bar & Grill,4.35,2
U Like,1.5,2
Twisted Tacos,3.5999999999999996,2
Twigly,4.55,2
Truffles,3.95,2
Town Hall,3.65,2
The Bake Studio,3.35,2
The Artful Baker,2.0,2
Teddy Boy,3.75,2
Shri Ram Restaurant,2.85,2
Shawarma King's,3.4000000000000004,2
Shankar Fast Food,2.95,2
Shamji Sweets,3.05,2
Shalimar Vyanjan,1.5,2
Shake Square,3.6500000000000004,2
Sethi's The Cake Shop,3.3499999999999996,2
Senorita's,1.85,2
Sbarro,3.4,2
Say Cheese,2.7,2
Sandwich King,3.65,2
San Carlo,4.25,2
Sagar Dhaba,1.55,2
Sadda Adda,1.75,2
Royale Bakers,1.4,2
Royal Spice,0.0,2
Roti Aur Boti,3.35,2
Rolling Beans,2.8,2
Roll Corner,1.65,2
Riyaz Chicken Corner,1.7,2
Rhinehart's Oyster Bar,4.0,2
Relax Xpress,3.2,2
Reena Restaurant,3.1,2
Red Mango,3.6500000000000004,2
Rasoi - The Indian Zaika,0.0,2
Rasoi,1.5,2
Ramesh Vaishno Dhaba,3.1,2
Ram Chinese Food,3.0,2
Rajshree,3.2,2
Rajdhani Restaurant,0.0,2
Shree Durga Dosa,3.05,2
Shyam Sweets,3.4499999999999997,2
Tea Trails,1.85,2
Sibang Bakery,3.6999999999999997,2
Taste of India,2.1,2
Tandoori Tadka,1.65,2
Tandoori Junction,1.2,2
Tamura,3.4,2
Syall Kotian Da Dhaba,1.5,2
Suruchi,3.5999999999999996,2
Super Snacks,1.55,2
